Arrest Boro,Arrest Date,Arrest Key,Attempt Comp,Cmplnt Dt,Cmplnt Num,Complaint Time,Law Cat Cd,Law Code,Ofns Desc,Perp Age Group,Perp Race,Perp Sex,Premise Category,Time of the Day,Vic Age Group,Vic Race,Vic Sex
BROOKLYN,5/30/2022,245846250,COMPLETED,2/5/2022,240159559,12/30/1899 5:45:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,F,RESIDENCE,Night,25-44,BLACK,M
BROOKLYN,3/26/2022,242695037,COMPLETED,3/26/2022,242694879,12/30/1899 10:00:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,RESIDENCE,Night,18-24,WHITE HISPANIC,M
QUEENS,11/13/2022,254056014,COMPLETED,11/13/2022,254053764,12/30/1899 4:45:00 PM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,65+,WHITE HISPANIC,M,RESIDENCE,Day,25-44,WHITE HISPANIC,M
MANHATTAN,4/2/2022,243014579,COMPLETED,4/2/2022,243005713,12/30/1899 9:50:00 PM,MISDEMEANOR,PL 13052A1,SEX CRIMES,<18,WHITE,M,OTHER,Night,<18,WHITE,F
BROOKLYN,2/18/2022,240880612,COMPLETED,2/17/2022,240880703,12/30/1899 9:00:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,ASIAN / PACIFIC ISLANDER,M,RESIDENCE,Night,18-24,ASIAN / PACIFIC ISLANDER,M
QUEENS,5/19/2022,245281481,COMPLETED,2/21/2022,245199339,12/30/1899 3:00:00 AM,FELONY,PL 1211200,FELONY ASSAULT,25-44,WHITE,M,RESIDENCE,Night,25-44,WHITE,F
QUEENS,3/13/2022,242024329,COMPLETED,3/12/2022,242024380,12/30/1899 6:30:00 PM,FELONY,PL 1200502,FELONY ASSAULT,25-44,BLACK HISPANIC,M,RESIDENCE,Night,18-24,WHITE HISPANIC,F
BRONX,1/13/2022,239068680,COMPLETED,8/26/2018,194608598,12/30/1899 12:01:00 AM,FELONY,PL 1302503,RAPE,25-44,WHITE HISPANIC,M,RESIDENCE,Night,<18,WHITE HISPANIC,F
BRONX,1/9/2022,238860610,COMPLETED,1/9/2022,238860575,12/30/1899 6:47:00 AM,FELONY,PL 1211200,FELONY ASSAULT,25-44,BLACK HISPANIC,F,RESIDENCE,Day,18-24,BLACK HISPANIC,M
QUEENS,7/6/2022,247624629,COMPLETED,7/21/2018,185431885,12/30/1899 5:20:00 AM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,OUTDOOR,Day,45-64,BLACK,F
QUEENS,10/16/2022,252610025,COMPLETED,3/4/2017,162492735,12/30/1899 10:50:00 PM,MISDEMEANOR,PL 2601001,SEX CRIMES,25-44,WHITE HISPANIC,M,RESIDENCE,Night,25-44,WHITE HISPANIC,F
BRONX,9/9/2022,250845522,COMPLETED,9/9/2022,250843675,12/30/1899 11:00:00 AM,FELONY,PL 1200502,FELONY ASSAULT,25-44,BLACK,F,RESIDENCE,Day,18-24,BLACK,M
MANHATTAN,7/18/2022,248190886,COMPLETED,7/18/2022,248178964,12/30/1899 8:45:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,F,COMMERCIAL,Day,45-64,ASIAN / PACIFIC ISLANDER,F
BRONX,12/26/2022,260510341,COMPLETED,12/26/2022,260508263,12/30/1899 4:05:00 PM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,RESIDENCE,Day,25-44,BLACK,M
QUEENS,8/25/2022,250162157,COMPLETED,8/25/2022,250160612,12/30/1899 7:49:00 PM,FELONY,PL 1202500,MISCELLANEOUS PENAL LAW,<18,WHITE HISPANIC,M,TRANSIT,Night,25-44,WHITE HISPANIC,M
BRONX,4/14/2022,243642782,COMPLETED,3/10/2021,225426982,12/30/1899 8:15:00 PM,MISDEMEANOR,PL 2601001,SEX CRIMES,25-44,BLACK,M,RESIDENCE,Night,65+,BLACK,F
BRONX,11/18/2022,254358015,COMPLETED,10/25/2022,253049690,12/30/1899 1:48:00 AM,MISDEMEANOR,PL 2601001,SEX CRIMES,25-44,BLACK,M,OUTDOOR,Night,<18,BLACK,M
BROOKLYN,9/21/2022,251372840,COMPLETED,9/21/2022,251372783,12/30/1899 3:00:00 AM,MISDEMEANOR,PL 2053000,OFFENSES AGAINST PUBLIC ADMINI,18-24,WHITE,M,COMMERCIAL,Night,45-64,WHITE,M
BRONX,6/2/2022,246013113,COMPLETED,6/2/2022,246008214,12/30/1899 6:19:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,BLACK HISPANIC,M,TRANSIT,Night,45-64,BLACK,M
QUEENS,10/19/2022,252774013,COMPLETED,9/28/2022,251708564,12/30/1899 9:54:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,COMMERCIAL,Day,25-44,WHITE HISPANIC,M
BRONX,5/9/2022,244812431,COMPLETED,5/9/2022,244812285,12/30/1899 9:00:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,65+,WHITE HISPANIC,M,RESIDENCE,Night,45-64,WHITE,F
QUEENS,8/13/2022,249511802,COMPLETED,8/13/2022,249505926,12/30/1899 1:00:00 AM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,RESIDENCE,Night,25-44,WHITE HISPANIC,F
BROOKLYN,2/11/2022,240478292,COMPLETED,9/15/2021,233608222,12/30/1899 7:00:00 PM,FELONY,PL 1200502,FELONY ASSAULT,25-44,BLACK,M,COMMERCIAL,Night,45-64,BLACK,M
STATEN ISLAND,3/18/2022,242317338,COMPLETED,3/18/2022,242317408,12/30/1899 6:30:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,<18,WHITE HISPANIC,M,FOOD,Night,<18,WHITE HISPANIC,F
BROOKLYN,11/18/2022,254352002,COMPLETED,11/18/2022,254348913,12/30/1899 2:20:00 PM,FELONY,PL 1553005,GRAND LARCENY,18-24,BLACK,M,OUTDOOR,Day,25-44,WHITE HISPANIC,M
QUEENS,11/2/2022,253515056,COMPLETED,11/2/2022,253515018,12/30/1899 8:20:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,F,OUTDOOR,Night,25-44,WHITE HISPANIC,M
QUEENS,3/26/2022,242669399,COMPLETED,3/26/2022,242669381,12/30/1899 2:00:00 AM,FELONY,PL 1211300,FELONY ASSAULT,25-44,BLACK HISPANIC,M,RESIDENCE,Night,25-44,WHITE HISPANIC,F
QUEENS,1/28/2022,239828065,COMPLETED,1/28/2022,239828217,12/30/1899 4:05:00 PM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,F,OUTDOOR,Day,45-64,WHITE HISPANIC,M
MANHATTAN,2/18/2022,240878592,COMPLETED,2/4/2018,174399499,12/30/1899 2:20:00 PM,FELONY,PL 1200501,FELONY ASSAULT,25-44,BLACK,M,RESIDENCE,Day,25-44,BLACK,F
MANHATTAN,10/31/2022,253377222,ATTEMPTED,10/31/2022,253376279,12/30/1899 5:00:00 PM,FELONY,PL 1600500,ROBBERY,25-44,BLACK HISPANIC,M,OUTDOOR,Night,25-44,BLACK HISPANIC,F
QUEENS,10/24/2022,253037725,COMPLETED,11/15/2021,236384926,12/30/1899 10:00:00 PM,FELONY,PL 1303501,RAPE,45-64,BLACK,M,RESIDENCE,Night,25-44,BLACK,F
BRONX,4/25/2022,244146585,COMPLETED,9/28/2021,234165120,12/30/1899 12:15:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,OUTDOOR,Day,25-44,WHITE HISPANIC,F
QUEENS,4/30/2022,244387218,COMPLETED,1/7/2019,191989050,12/30/1899 3:32:00 PM,MISDEMEANOR,PL 1552500,PETIT LARCENY,45-64,BLACK,M,RESIDENCE,Day,25-44,BLACK,F
BROOKLYN,8/22/2022,249939220,COMPLETED,8/18/2022,249793219,12/30/1899 4:45:00 PM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,COMMERCIAL,Day,25-44,BLACK,M
QUEENS,3/23/2022,242526321,COMPLETED,3/23/2022,242526417,12/30/1899 2:00:00 PM,MISDEMEANOR,PL 1211100,ASSAULT 3 & RELATED OFFENSES,45-64,BLACK,F,COMMERCIAL,Day,45-64,WHITE HISPANIC,F
MANHATTAN,8/27/2022,250242493,COMPLETED,8/27/2022,250242314,12/30/1899 10:15:00 PM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,RESIDENCE,Night,25-44,WHITE,F
QUEENS,5/3/2022,244520384,COMPLETED,5/3/2022,244516573,12/30/1899 2:35:00 PM,MISDEMEANOR,PL 1201500,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,F,COMMERCIAL,Day,25-44,BLACK,F
BROOKLYN,8/29/2022,250305192,COMPLETED,8/29/2022,250305308,12/30/1899 11:30:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,BLACK,F,RESIDENCE,Day,<18,BLACK,M
MANHATTAN,10/3/2022,251931774,COMPLETED,10/2/2022,251931276,12/30/1899 10:40:00 PM,FELONY,PL 1402502,BURGLARY,45-64,WHITE HISPANIC,M,RESIDENCE,Night,45-64,WHITE HISPANIC,M
QUEENS,10/29/2022,253312530,COMPLETED,10/29/2022,253312626,12/30/1899 11:30:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,<18,BLACK,M,RESIDENCE,Day,25-44,BLACK,F
MANHATTAN,7/10/2022,247816454,COMPLETED,7/10/2022,247815033,12/30/1899 9:20:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,F,RESIDENCE,Day,25-44,WHITE HISPANIC,F
BRONX,8/26/2022,250177181,COMPLETED,5/5/2007,29178127,12/30/1899 11:00:00 PM,FELONY,PL 1303501,RAPE,25-44,WHITE HISPANIC,M,RESIDENCE,Night,<18,WHITE HISPANIC,F
BRONX,4/6/2022,243162678,COMPLETED,3/27/2022,242739911,12/30/1899 5:52:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,M,RESIDENCE,Night,45-64,WHITE HISPANIC,M
BROOKLYN,8/18/2022,249795881,COMPLETED,8/18/2022,249793216,12/30/1899 4:30:00 PM,MISDEMEANOR,PL 1450001,CRIMINAL MISCHIEF & RELATED OF,18-24,BLACK,M,RESIDENCE,Day,45-64,BLACK,F
QUEENS,2/7/2022,240227170,COMPLETED,12/13/2019,208784746,12/30/1899 12:01:00 AM,MISDEMEANOR,PL 13052A1,SEX CRIMES,45-64,WHITE,M,RESIDENCE,Night,<18,WHITE,F
BRONX,4/22/2022,244034838,COMPLETED,11/8/2012,87665985,12/30/1899 6:00:00 PM,MISDEMEANOR,PL 2403002,OFF. AGNST PUB ORD SENSBLTY &,25-44,BLACK,M,RESIDENCE,Night,25-44,BLACK,F
QUEENS,7/24/2022,248484306,COMPLETED,7/24/2022,248484431,12/30/1899 6:05:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,45-64,WHITE HISPANIC,M,RESIDENCE,Night,65+,WHITE HISPANIC,M
BRONX,6/6/2022,246180982,COMPLETED,5/31/2022,245874554,12/30/1899 9:41:00 AM,FELONY,PL 1200501,FELONY ASSAULT,18-24,WHITE HISPANIC,M,MEDICAL,Day,25-44,UNKNOWN,F
QUEENS,3/5/2022,241640752,COMPLETED,6/10/2012,85186656,12/30/1899 5:15:00 AM,MISDEMEANOR,PL 2601001,SEX CRIMES,25-44,BLACK,F,RESIDENCE,Day,<18,BLACK,F
QUEENS,10/21/2022,252908851,COMPLETED,10/3/2022,252117831,12/30/1899 11:13:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,45-64,BLACK,M,COMMERCIAL,Day,45-64,BLACK,F
BROOKLYN,6/19/2022,246859588,COMPLETED,10/2/2020,218772010,12/30/1899 6:15:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,F,RESIDENCE,Night,45-64,WHITE HISPANIC,F
BROOKLYN,11/3/2022,253552310,COMPLETED,11/3/2022,253545852,12/30/1899 11:00:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,RESIDENCE,Day,<18,BLACK,F
MANHATTAN,11/6/2022,253703464,COMPLETED,8/11/2018,186311337,12/30/1899 6:00:00 PM,MISDEMEANOR,PL 24030M1,OFF. AGNST PUB ORD SENSBLTY &,45-64,BLACK,M,RESIDENCE,Night,45-64,BLACK,F
MANHATTAN,4/1/2022,242918762,COMPLETED,3/18/2022,242273082,12/30/1899 4:10:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,WHITE,M,FOOD,Night,18-24,BLACK HISPANIC,M
BROOKLYN,7/21/2022,248365967,COMPLETED,7/21/2022,248366056,12/30/1899 5:15:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,BLACK,F,OUTDOOR,Night,18-24,BLACK,F
BRONX,2/26/2022,241282488,COMPLETED,2/26/2022,241280926,12/30/1899 3:45:00 PM,FELONY,PL 1200501,FELONY ASSAULT,45-64,WHITE,M,RESIDENCE,Day,45-64,WHITE HISPANIC,F
MANHATTAN,3/14/2022,242084290,COMPLETED,10/6/2021,234583070,12/30/1899 3:00:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,WHITE HISPANIC,F,COMMERCIAL,Day,45-64,BLACK,F
MANHATTAN,11/16/2022,254197804,COMPLETED,11/16/2022,254194965,12/30/1899 8:45:00 AM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,18-24,WHITE,M,RESIDENCE,Day,25-44,BLACK HISPANIC,M
MANHATTAN,12/1/2022,254962656,COMPLETED,12/1/2022,254962682,12/30/1899 9:20:00 PM,MISDEMEANOR,PL 1401501,CRIMINAL TRESPASS,25-44,BLACK,M,STORE,Night,25-44,ASIAN / PACIFIC ISLANDER,F
MANHATTAN,11/30/2022,254898400,COMPLETED,11/30/2022,254898518,12/30/1899 8:39:00 PM,MISDEMEANOR,PL 1401501,CRIMINAL TRESPASS,25-44,BLACK,M,STORE,Night,25-44,BLACK,F
QUEENS,9/11/2022,250905364,COMPLETED,9/11/2022,250905427,12/30/1899 12:15:00 PM,FELONY,PL 12005A3,FELONY ASSAULT,25-44,BLACK,M,OUTDOOR,Day,25-44,UNKNOWN,L
BROOKLYN,8/31/2022,250400396,COMPLETED,8/31/2022,250397688,12/30/1899 8:50:00 AM,MISDEMEANOR,PL 1201401,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,OUTDOOR,Day,45-64,BLACK,F
BRONX,7/8/2022,247762834,COMPLETED,7/8/2022,247761271,12/30/1899 7:52:00 PM,MISDEMEANOR,PL 1200001,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,STORE,Night,18-24,WHITE HISPANIC,F
MANHATTAN,7/22/2022,248404231,COMPLETED,7/22/2022,248398900,12/30/1899 10:00:00 AM,FELONY,PL 1200512,FELONY ASSAULT,45-64,BLACK,F,TRANSIT,Day,65+,BLACK,F
MANHATTAN,11/5/2022,253667177,COMPLETED,12/1/2020,221193116,12/30/1899 5:45:00 PM,MISDEMEANOR,PL 1211100,ASSAULT 3 & RELATED OFFENSES,25-44,BLACK,M,RESIDENCE,Night,25-44,BLACK,F
BROOKLYN,12/6/2022,255163102,COMPLETED,12/6/2022,255161402,12/30/1899 2:02:00 PM,FELONY,PL 1200800,FELONY ASSAULT,18-24,BLACK,M,EDUCATIONAL,Day,45-64,BLACK,L
MANHATTAN,3/12/2022,241977954,COMPLETED,12/10/2020,221612608,12/30/1899 2:30:00 AM,FELONY,PL 1211200,FELONY ASSAULT,25-44,BLACK,M,RESIDENCE,Night,25-44,BLACK,F
